LOCATION,TIME,Unemployment,CPI,P/E,Open,High,Low,Close
USA,1999-12,4,2.684564,29.66,1397.72,1473.13,1387.48,1469.25
USA,2000-01,4,2.738892,29.04,1455.22,1478,1350.14,1394.46
USA,2000-02,4.1,3.221884,27.76,1409.28,1444.38,1325.02,1366.42
USA,2000-03,4,3.757576,28.31,1379.19,1553.11,1346.5,1498.58
USA,2000-04,3.8,3.068592,28.5,1505.97,1527.11,1339.4,1452.43
USA,2000-05,4,3.188929,27.49,1468.25,1481.43,1361.2,1420.6
USA,2000-06,4,3.730445,28.16,1448.81,1488.98,1420.6,1454.6
USA,2000-07,4,3.659268,28.05,1469.54,1517.24,1414.16,1430.83
USA,2000-08,4.1,3.411131,27.97,1438.1,1525.3,1426.05,1517.68
USA,2000-09,3.9,3.454437,27.34,1520.77,1530.01,1419.54,1436.51
USA,2000-10,3.9,3.448276,26.5,1436.23,1454.82,1305.79,1429.4
USA,2000-11,3.9,3.446227,26.9,1421.22,1438.46,1294.9,1314.95
USA,2000-12,3.9,3.386809,26.62,1315.23,1389.05,1254.07,1320.28
USA,2001-01,4.2,3.732228,27.55,1283.27,1383.37,1274.62,1366.01
USA,2001-02,4.2,3.533569,27.81,1373.47,1376.38,1215.44,1239.94
USA,2001-03,4.3,2.920561,26.1,1241.23,1267.42,1081.19,1160.33
USA,2001-04,4.4,3.269119,27.96,1145.87,1269.3,1091.99,1249.46
USA,2001-05,4.3,3.61516,32.02,1266.44,1315.93,1232,1255.82
USA,2001-06,4.5,3.24826,33.67,1260.67,1286.62,1203.03,1224.42
USA,2001-07,4.6,2.719908,35.46,1236.71,1239.78,1165.54,1211.23
USA,2001-08,4.9,2.719908,37.85,1215.93,1226.27,1124.87,1133.59
USA,2001-09,5,2.648244,36.9,1132.94,1155.4,944.75,1040.94
USA,2001-10,5.3,2.126437,39.72,1038.55,1110.61,1026.76,1059.78
USA,2001-11,5.5,1.895462,43.62,1084.1,1163.38,1054.31,1139.45
USA,2001-12,5.7,1.551724,46.37,1129.9,1173.62,1114.5,1148.08
USA,2002-01,5.7,1.142204,46.17,1154.67,1176.97,1081.66,1130.2
USA,2002-02,5.7,1.137656,44.57,1122.2,1130.2,1074.36,1106.73
USA,2002-03,5.7,1.475596,46.71,1131.78,1173.89,1106.73,1147.39
USA,2002-04,5.9,1.639344,43.81,1146.54,1147.75,1063.56,1076.92
USA,2002-05,5.8,1.181767,41.41,1086.46,1106.59,1049.06,1067.14
USA,2002-06,5.8,1.067416,37.92,1040.68,1070.66,953.08,989.81
USA,2002-07,5.8,1.464789,32.46,968.65,994.35,775.96,911.62
USA,2002-08,5.7,1.802817,31.53,884.66,964.84,833.44,916.07
USA,2002-09,5.7,1.514302,28.89,878.02,923.98,800.26,815.28
USA,2002-10,5.7,2.025886,29.24,847.91,907.51,768.67,885.76
USA,2002-11,5.9,2.198422,32.03,900.96,941.76,872.16,936.31
USA,2002-12,6,2.37691,32.59,934.53,954.32,869.43,879.82
USA,2003-01,5.8,2.597403,31.43,909.03,935.06,840.28,855.7
USA,2003-02,5.9,2.980877,28.46,860.32,864.67,806.32,841.15
